क्रमाङ्क,पदाः
99,"['यदा', 'ते', 'मोहकलिलम्', 'बुद्धिस्', 'व्यतितरिष्यति', '।', 'तदा', 'गन्तासि', 'निर्वेदम्', 'श्रोतव्यस्य', 'श्रुतस्य', 'च', '॥']"
100,"['श्रुतिविप्रतिपन्नास्', 'ते', 'यदा', 'स्थास्यति', 'निश्चला', '।', 'समाधौ', 'अचला', 'बुद्धिस्', 'तदा', 'योगम्', 'अवाप्स्यसि', '॥']"
101,"['स्थितप्रज्ञस्य', 'का', 'भाषा', 'समाधिस्थस्य', 'केशव', '।', 'स्थितधीस्', 'किम्', 'प्रभाषेत', 'किम्', 'आसीत', 'व्रजेत', 'किम्', '॥']"
102,"['प्रजहाति', 'यदा', 'कामान्', 'सर्वान्', 'पार्थ', 'मनोगतान्', '।', 'आत्मनि', 'एव', 'आत्मना', 'तुष्टस्', 'स्थितप्रज्ञस्', 'तदा', 'उच्यते', '॥']"
103,"['दुःखेषु', 'अनुद्विग्नमनास्', 'सुखेषु', 'विगतस्पृहस्', '।', 'वीतरागभयक्रोधस्', 'स्थितधीस्', 'मुनिस्', 'उच्यते', '॥']"
104,"['यस्', 'सर्वत्र', 'अनभिस्नेहस्', 'तत्', 'तत्', 'प्राप्य', 'शुभाशुभम्', '।', 'न', 'अभिनन्दति', 'न', 'द्वेष्टि', 'तस्य', 'प्रज्ञा', 'प्रतिष्ठिता', '॥']"
105,"['यदा', 'संहरते', 'च', 'अयम्', 'कूर्मस्', 'अङ्गानि', 'इव', 'सर्वशस्', '।', 'इन्द्रियाणि', 'इन्द्रियार्थेभ्यस्', 'तस्य', 'प्रज्ञा', 'प्रतिष्ठिता', '॥']"
106,"['विषयास्', 'विनिवर्तन्ते', 'निराहारस्य', 'देहिनस्', '।', 'रसवर्जम्', 'रसस्', 'अप्यस्य', 'परम्', 'दृष्ट्वा', 'निवर्तते', '॥']"
107,"['यततस्', 'हि', 'अपि', 'कौन्तेय', 'पुरुषस्य', 'विपश्चितस्', '।', 'इन्द्रियाणि', 'प्रमाथीनि', 'हरन्ति', 'प्रसभम्', 'मनस्', '॥']"
108,"['तानि', 'सर्वाणि', 'संयम्य', 'युक्तस्', 'आसीत', 'मत्परस्', '।', 'वशे', 'हि', 'यस्य', 'इन्द्रियाणि', 'तस्य', 'प्रज्ञा', 'प्रतिष्ठिता', '॥']"
109,"['ध्यायतस्', 'विषयान्', 'पुंसस्', 'सङ्गस्', 'तेषु', 'उपजायते', '।', 'सङ्गात्', 'सञ्जायते', 'कामस्', 'कामात्', 'क्रोधस्', 'अभिजायते', '॥']"
110,"['क्रोधात्', 'भवति', 'सम्मोहस्', 'सम्मोहात्', 'स्मृतिविभ्रमस्', '।', 'स्मृतिभ्रंशात्', 'बुद्धिनाशस्', 'बुद्धिनाशात्', 'प्रणश्यति', '॥']"
111,"['रागद्वेषविमुक्तैस्', 'तु', 'विषयान्', 'इन्द्रियैस्', 'चरन्', '।', 'आत्मवश्यैस्', 'विधेयात्मा', 'प्रसादम्', 'अधिगच्छति', '॥']"
112,"['प्रसादे', 'सर्वदुःखानाम्', 'हानिस्', 'अस्य', 'उपजायते', '।', 'प्रसन्नचेतसस्', 'हि', 'आशु', 'बुद्धिस्', 'पर्यवतिष्ठते', '॥']"
113,"['न', 'अस्ति', 'बुद्धिस्', 'अयुक्तस्य', 'न', 'च', 'अयुक्तस्य', 'भावना', '।', 'न', 'च', 'अभावयतस्', 'शान्तिस्', 'अशान्तस्य', 'कुतस्', 'सुखम्', '॥']"
